Time(s),X(m),Y(m),Z(m),Pitch(deg),Roll(deg),Yaw(deg)
24.46,105.13,-1.84,-5.39,-10.00,0.00,-51.00
24.57,106.01,-1.09,-5.39,-10.00,0.00,-47.00
24.68,106.82,-0.28,-5.39,-10.00,0.00,-43.00
24.79,107.60,0.59,-5.39,-10.00,0.00,-39.00
24.90,108.15,1.30,-5.39,-10.00,0.00,-36.00
25.01,108.82,2.27,-5.39,-7.00,0.00,-32.00
25.11,109.43,3.28,-5.39,-3.00,0.00,-31.00
25.22,109.43,3.28,-5.39,-0.00,0.00,-31.00
25.33,109.71,3.75,-5.39,3.00,0.00,-31.00
25.44,110.31,4.74,-5.39,3.00,0.00,-32.00
25.55,110.79,5.48,-5.39,3.00,0.00,-35.00
25.66,111.48,6.42,-5.39,3.00,0.00,-39.00
25.77,112.26,7.33,-5.39,3.00,0.00,-43.00
25.88,113.11,7.75,-5.41,3.00,0.00,-46.00
25.99,113.93,6.88,-5.46,-0.00,0.00,-47.00
26.09,114.73,6.01,-5.43,-3.00,0.00,-49.00
26.20,115.31,5.32,-5.39,-1.00,0.00,-51.00
26.31,116.05,4.41,-5.39,3.00,0.00,-51.00
26.42,116.81,3.47,-5.49,7.00,0.00,-50.00
26.53,117.83,3.19,-5.61,9.00,0.00,-47.00
26.64,119.47,3.19,-5.79,9.00,0.00,-43.00
26.75,121.12,3.30,-5.95,5.00,0.00,-40.00
26.86,122.32,3.40,-6.01,2.00,0.00,-40.00
26.97,123.09,4.32,-6.01,-2.00,0.00,-40.00
27.07,123.87,5.25,-6.01,-6.00,0.00,-40.00
27.18,124.09,5.51,-6.01,-9.00,0.00,-40.00
27.29,123.50,4.80,-6.01,-13.00,0.00,-40.00
27.40,122.92,4.11,-6.01,-16.00,0.00,-40.00
27.51,122.14,3.19,-6.01,-19.00,0.00,-41.00
27.62,121.36,2.33,-6.01,-18.00,0.00,-45.00
27.73,120.70,1.69,-6.01,-15.00,0.00,-46.00
27.83,119.83,0.85,-6.01,-11.00,0.00,-46.00
27.94,119.19,0.22,-6.01,-8.00,0.00,-44.00
28.05,118.34,-0.71,-6.01,-7.00,0.00,-40.00
28.16,117.57,-1.67,-6.01,-7.00,0.00,-36.00
28.27,117.04,-2.43,-6.01,-7.00,0.00,-33.00
28.38,116.38,-3.47,-6.01,-11.00,0.00,-32.00
28.49,115.91,-4.25,-6.01,-11.00,0.00,-29.00
28.60,115.35,-5.34,-6.01,-11.00,0.00,-25.00
28.71,114.96,-6.19,-6.01,-11.00,0.00,-22.00
28.82,115.39,-5.05,-6.01,-11.00,0.00,-18.00
28.93,115.65,-4.18,-6.01,-11.00,0.00,-15.00
29.03,115.93,-3.02,-6.01,-11.00,0.00,-11.00
29.14,116.14,-1.80,-6.01,-7.00,0.00,-7.00
29.25,116.23,-0.91,-6.01,-4.00,0.00,-4.00
29.36,116.32,0.33,-6.01,-0.00,0.00,-4.00
29.46,116.38,1.18,-6.01,3.00,0.00,-4.00
29.57,116.48,2.35,-6.01,5.00,0.00,-7.00
29.68,116.65,3.51,-6.01,5.00,0.00,-10.00
29.79,116.80,4.37,-6.01,2.00,0.00,-11.00
29.90,117.06,5.55,-6.01,2.00,0.00,-15.00
30.01,117.23,6.18,-6.01,2.00,0.00,-19.00
30.11,117.73,5.99,-6.04,5.00,0.00,-22.00
30.22,118.82,5.53,-6.17,9.00,0.00,-24.00
30.34,119.86,5.04,-6.39,13.00,0.00,-27.00
30.44,120.61,4.66,-6.60,16.00,0.00,-27.00
30.55,121.57,4.17,-6.91,16.00,0.00,-27.00
30.66,122.51,3.69,-7.19,13.00,0.00,-27.00
30.77,123.51,3.18,-7.42,9.00,0.00,-27.00
30.88,124.51,2.67,-7.57,5.00,0.00,-27.00
30.99,125.55,2.14,-7.64,1.00,0.00,-27.00
31.10,126.36,1.72,-7.64,-2.00,0.00,-29.00
31.20,127.38,1.12,-7.57,-5.00,0.00,-33.00
31.31,128.16,0.60,-7.49,-5.00,0.00,-34.00
31.42,128.42,0.42,-7.46,-5.00,0.00,-35.00
31.53,127.73,-0.52,-7.46,-5.00,0.00,-39.00
31.64,127.12,-1.24,-7.46,-5.00,0.00,-42.00
31.75,126.31,-2.10,-7.46,-5.00,0.00,-46.00
31.85,125.64,-2.72,-7.46,-5.00,0.00,-49.00
